"Code","LAName","District","all_ages","age_0","age_1","age_2","age_3","age_4","age_5","age_6","age_7","age_8","age_9","age_10","age_11","age_12","age_13","age_14","age_15","age_16","age_17","age_18","age_19","age_20","age_21","age_22","age_23","age_24","age_25","age_26","age_27","age_28","age_29","age_30","age_31","age_32","age_33","age_34","age_35","age_36","age_37","age_38","age_39","age_40","age_41","age_42","age_43","age_44","age_45","age_46","age_47","age_48","age_49","age_50","age_51","age_52","age_53","age_54","age_55","age_56","age_57","age_58","age_59","age_60","age_61","age_62","age_63","age_64","age_65","age_66","age_67","age_68","age_69","age_70","age_71","age_72","age_73","age_74","age_75","age_76","age_77","age_78","age_79","age_80","age_81","age_82","age_83","age_84","age_85","age_86","age_87","age_88","age_89","age_90"
"S12000033","Aberdeen City","aberdeen",229840,2533,2454,2408,2386,2425,2365,2279,2214,2187,2050,1945,1889,1780,1733,1745,1794,1893,1921,2436,3500,3739,3942,3961,4417,5182,5325,5057,5087,4714,4547,4421,4255,3850,3963,3756,3634,3469,3211,2944,2843,2884,2762,2692,2908,2886,2973,2697,2859,2905,2906,2839,3008,2899,3042,3010,2738,2791,2781,2700,2627,2609,2453,2373,2210,2202,2126,2111,2257,2151,2413,1752,1453,1489,1505,1481,1298,1353,1288,1284,1206,1146,1083,997,893,930,765,702,639,502,455,1553
"S12000034","Aberdeenshire","aberdeenshire",262190,2949,2909,3012,3001,3095,3299,3387,3384,3252,3128,3115,2943,2914,2883,2793,2807,3013,3024,2832,2571,2553,2729,2852,2751,2654,2757,2672,2629,2851,2926,2982,3123,3093,3263,3433,3476,3468,3355,3221,3336,3447,3389,3635,3823,3903,4137,4003,4181,3952,4175,4112,4233,4192,4154,3923,3846,3653,3579,3652,3467,3522,3362,3397,3157,3090,3144,3129,3257,3277,3517,2594,2329,2260,2208,2066,1805,1908,1738,1621,1493,1448,1289,1211,1093,979,941,778,674,611,507,1894
"E07000223","Adur","adur",63621,689,737,765,784,839,793,810,744,769,681,688,657,628,627,650,563,700,718,681,591,562,553,590,551,595,659,613,602,675,628,697,706,641,732,770,778,791,811,746,790,740,835,846,855,990,935,884,938,921,1022,918,965,928,925,842,861,813,785,804,781,729,749,709,772,732,760,751,864,904,970,750,741,719,720,592,517,605,556,540,502,493,472,398,378,372,356,295,279,222,199,783
"E07000026","Allerdale","allerdale",97099,877,936,925,969,984,1072,1053,1060,1044,1042,987,998,957,1002,1025,1009,1047,1144,1057,964,855,929,982,990,1063,1081,1007,963,1013,907,1028,1015,973,983,981,1082,1085,977,929,902,944,1035,1075,1167,1254,1504,1419,1518,1476,1616,1548,1560,1523,1487,1516,1434,1429,1415,1440,1345,1341,1242,1282,1360,1273,1372,1327,1480,1534,1635,1131,1106,1175,1083,979,903,911,864,835,775,705,646,572,544,545,475,393,343,308,300,1058
"E07000032","Amber Valley","amber valley",124802,1206,1219,1240,1384,1333,1366,1395,1248,1347,1375,1347,1309,1286,1292,1311,1272,1419,1452,1387,1202,1111,1178,1316,1388,1414,1505,1322,1320,1323,1353,1359,1415,1305,1369,1379,1461,1538,1397,1229,1349,1412,1509,1606,1698,1931,1930,1912,1999,1986,2039,1949,2056,1971,2036,1828,1800,1708,1744,1696,1602,1680,1567,1607,1588,1521,1600,1668,1785,1848,2008,1452,1402,1493,1345,1141,977,949,1016,870,834,751,706,621,631,562,491,463,432,332,312,1317
"W06000001","Isle of Anglesey","anglesey",69665,711,677,770,809,822,828,807,802,824,739,731,672,712,695,685,706,747,737,703,634,581,612,633,703,757,779,846,768,746,763,676,682,703,708,719,719,784,725,680,618,671,671,736,876,824,989,861,967,916,972,952,977,994,1002,943,1007,1029,1012,974,936,997,932,1002,911,956,994,1057,1087,1113,1208,913,959,948,866,726,647,672,702,645,553,513,509,444,397,381,341,304,279,238,250,799
"S12000041","Angus","angus",116520,1055,1119,1216,1202,1200,1216,1246,1229,1309,1193,1210,1250,1263,1232,1194,1311,1301,1288,1293,1300,1236,1231,1340,1286,1227,1222,1125,1141,1224,1215,1282,1205,1199,1272,1378,1276,1297,1273,1229,1191,1294,1289,1382,1519,1567,1566,1614,1737,1646,1743,1779,1827,1797,1834,1894,1682,1783,1685,1616,1614,1559,1515,1529,1635,1451,1579,1577,1644,1761,1884,1335,1295,1308,1214,1129,1020,1052,933,953,902,818,767,701,620,633,577,511,402,356,289,1227
"N09000001","Antrim and Newtownabbey","antrim and newtownabbey",141032,1788,1778,1774,1907,1971,1941,1970,2059,2048,1910,1847,1800,1767,1677,1709,1702,1750,1773,1750,1905,1730,1654,1710,1708,1714,1861,1672,1723,1723,1781,1829,1788,1802,1811,1809,1966,1955,1861,1790,1817,1860,1874,1817,1929,2034,2008,2028,2037,2053,2001,2005,2083,2106,1995,1870,1857,1765,1725,1741,1597,1554,1483,1462,1441,1376,1428,1387,1389,1368,1332,1262,1227,1211,1212,997,902,886,911,825,782,706,681,594,523,481,438,374,369,298,273,945
"N09000011","Ards and North Down","ards and north down",159593,1784,1752,1824,1834,1912,1973,1927,1990,2048,2016,1910,1864,1896,1772,1741,1740,1828,1940,1931,1652,1516,1452,1599,1704,1705,1787,1785,1798,1867,1776,1841,1784,1830,1884,1851,1928,1990,1951,1857,1811,1882,1992,2013,2133,2180,2269,2237,2342,2384,2340,2292,2347,2376,2357,2276,2276,2228,2135,2177,2124,2001,1901,1951,1957,1922,1964,1978,2042,2139,2080,1943,1904,1802,1726,1453,1214,1120,1126,1087,1007,888,868,770,752,699,609,501,528,431,399,1421
"S12000035","Argyll and Bute","argyll and bute",87130,713,749,778,762,846,848,865,866,874,823,869,855,883,809,840,858,884,1019,985,1006,1010,987,1018,938,899,944,877,915,817,813,763,807,793,795,755,841,865,778,832,878,884,951,946,1047,1142,1115,1209,1220,1318,1315,1307,1421,1408,1448,1379,1402,1370,1295,1299,1323,1322,1257,1228,1237,1274,1341,1251,1373,1367,1551,1155,1101,1121,1032,929,864,885,823,775,739,646,638,534,487,498,431,373,313,250,213,866
"N09000002","Armagh City Banbridge and Craigavon","armagh  banbridge and craigavon",210260,3045,2978,3007,3137,3200,3199,3074,3152,3100,3025,2884,2717,2664,2518,2578,2526,2653,2725,2751,2232,2157,2363,2505,2588,2750,2795,2844,2923,2921,2895,2867,2910,2878,2900,2830,2954,2949,2884,2680,2658,2706,2698,2784,2860,2961,2946,2970,2957,3002,2936,2930,3044,2949,2834,2758,2657,2613,2538,2448,2315,2215,2121,2047,1978,1894,1907,1993,1938,1918,1883,1751,1752,1694,1612,1458,1279,1221,1231,1166,1094,991,933,816,758,631,591,565,490,405,334,1272
